笔记ID,标题,作者,点赞数,详情链接
667a344d000000001d018775,简单好用 💰出差费用报销明细统计表C175,可乐Excel模版工作室,68,https://www.xiaohongshu.com/explore/667a344d000000001d018775
681c7dff000000002002afa2,第一次见这么方便的差旅费报销统计分析表！,不精致的猪猪女孩,32,https://www.xiaohongshu.com/explore/681c7dff000000002002afa2
689feb3e000000001d010bb0,老板说，这是我见过最实用的费用报销表格,巧克力大王,71,https://www.xiaohongshu.com/explore/689feb3e000000001d010bb0
6925630f000000001b026c6c,出差党狂喜！算策计算器拯救差旅报销崩溃症,cuizhu1974,赞,https://www.xiaohongshu.com/explore/6925630f000000001b026c6c
68ef6ff90000000007014fc0,私车公用太头疼？合思费控轻松搞定报销！,合思信息,82,https://www.xiaohongshu.com/explore/68ef6ff90000000007014fc0
68f4ea510000000004005ade,第一次见到这么详细的费用支出明细表，数,小米果儿~,255,https://www.xiaohongshu.com/explore/68f4ea510000000004005ade
683e5beb000000002100caa3,自从用了这个微信小程序，同事再也不敢谎报,姜尧信息,59,https://www.xiaohongshu.com/explore/683e5beb000000002100caa3
669bb5540000000025017f74,怎么汇总全年的差旅费？,ExceI办公技巧,348,https://www.xiaohongshu.com/explore/669bb5540000000025017f74
69480ee4000000001e03a5de,Excel快速分摊工钱、差旅费,Panda_Excel,10,https://www.xiaohongshu.com/explore/69480ee4000000001e03a5de
6901caad000000000700a6f5,新来的文员还在一个一个统计费用明细,办公达人小技巧,146,https://www.xiaohongshu.com/explore/6901caad000000000700a6f5
68d2069c0000000012030822,终于搞懂差旅结算为什么要自动化了,财务五分钟,14,https://www.xiaohongshu.com/explore/68d2069c0000000012030822
6891bd6d0000000023039834,AI将报销从3天压到3分钟，全公司沸腾了！,蓝凌数智化办公专家,1,https://www.xiaohongshu.com/explore/6891bd6d0000000023039834
68e8adab0000000004004256,,小步外勤,1,https://www.xiaohongshu.com/explore/68e8adab0000000004004256
66f133a4000000001b023927,,娃娃爱红薯,12,https://www.xiaohongshu.com/explore/66f133a4000000001b023927
65e093f1000000000102957d,我…跟老板出差因为这个👆被意外晋升❗️,是Cayson,198,https://www.xiaohongshu.com/explore/65e093f1000000000102957d
69490bc8000000001d03ccbf,500强财务都在用的7个Excel函数,环球青藤Excel,10,https://www.xiaohongshu.com/explore/69490bc8000000001d03ccbf
686234bb000000001001289d,旅行社计调必备！高效计算成本与报价🔥,深圳旅通软件科技有限公司,126,https://www.xiaohongshu.com/explore/686234bb000000001001289d
68b164c9000000001d0175de,旅行社计调必备！高效计算成本与报价💥,深圳旅通软件科技有限公司,128,https://www.xiaohongshu.com/explore/68b164c9000000001d0175de
6690a84900000000250172a3,员工出差该怎么登记呢,大橙子excel表格,33,https://www.xiaohongshu.com/explore/6690a84900000000250172a3
68f59954000000000700e735,出差福音！这个差旅神器让我告别垫资+贴票,合思信息,12,https://www.xiaohongshu.com/explore/68f59954000000000700e735
6814e16000000000090395a4,豆包实现差旅报销的自动化登记,AI 提高效率指南,51,https://www.xiaohongshu.com/explore/6814e16000000000090395a4
669f7120000000002701c6ba,多对多旅行分账模板，快速清账，告别支付困扰,情绪羊🐑,28,https://www.xiaohongshu.com/explore/669f7120000000002701c6ba
694118e5000000001b031028,预算费控太头疼?一招告别预算超支、报销慢,伙伴云,2,https://www.xiaohongshu.com/explore/694118e5000000001b031028
67f79ee4000000001d019c9d,爱惨了！亿企赢财务软件终结『报销』难题,亿企赢财务软件,55,https://www.xiaohongshu.com/explore/67f79ee4000000001d019c9d
66f0308d000000001e01ad2c,被很多行政人事夸的费用报销明细表,中人资咨询,176,https://www.xiaohongshu.com/explore/66f0308d000000001e01ad2c
67319559000000001d039171,我是如何记录每次差旅中的各种信息的,蜗牛,10,https://www.xiaohongshu.com/explore/67319559000000001d039171
65a8b734000000002803848c,公务差旅小程序 开发好处有这些！,Liliya,19,https://www.xiaohongshu.com/explore/65a8b734000000002803848c
668bbe5b0000000025007420,出差记账报销神器|不自费打工是打工人的宗旨,懒猫记账,15,https://www.xiaohongshu.com/explore/668bbe5b0000000025007420
67d94697000000001b0245e4,交通费审核太头疼，Spark AI火花来救场！,汇联易,3,https://www.xiaohongshu.com/explore/67d94697000000001b0245e4
6916dbca0000000004007149,这个差旅管理神器，能让员工主动节省？,阿里商旅,3,https://www.xiaohongshu.com/explore/6916dbca0000000004007149
6581a3a70000000009022085,🔥会计必会｜旅客进项税额自动计算,晶小小の打工日记,8,https://www.xiaohongshu.com/explore/6581a3a70000000009022085
6874ae8d000000000d018ec9,一键统计差旅费。,柠檬Excel,18,https://www.xiaohongshu.com/explore/6874ae8d000000000d018ec9
694b41860000000019027804,牢记这8个函数，让你的成为财务牛人,安盈,2,https://www.xiaohongshu.com/explore/694b41860000000019027804
65d2d188000000000b0210fa,Excel一个公式搞定多人出差记录按姓名统计,Panda_Excel,64,https://www.xiaohongshu.com/explore/65d2d188000000000b0210fa
64fc5ce2000000001f03f210,必备技巧差旅费计算,极米优选日用,88,https://www.xiaohongshu.com/explore/64fc5ce2000000001f03f210
653e4cdf00000000230398a2,,青柚,9,https://www.xiaohongshu.com/explore/653e4cdf00000000230398a2
